"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Valor da produção (Mil Reais)"
"Brasil e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil e Município";"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022"
"Brasil e Município";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Graça (CE)";"...";"-";"-";"-";"277";"-";"-";"-";"-";"-";"-";"...";"77";"-";"42";"2766";"-";"-";"-";"-";"-";"483";"317";"-";"-";"1154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"353";"27";"-";"-";"-";"-";"-";"...";"195";"-";"52";"3124";"-";"-";"-";"-";"-";"640";"349";"-";"-";"1392";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"273";"23";"-";"-";"-";"-";"-";"...";"217";"-";"66";"1687";"-";"-";"-";"-";"-";"494";"252";"-";"-";"1017";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Granja (CE)";"...";"-";"-";"-";"375";"-";"-";"-";"-";"-";"-";"...";"5452";"-";"10";"7019";"-";"-";"-";"-";"-";"13634";"143";"-";"-";"2884";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"307";"-";"-";"-";"-";"-";"-";"...";"3230";"-";"10";"6383";"-";"-";"-";"-";"-";"11128";"82";"-";"-";"2879";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"231";"-";"-";"-";"-";"-";"-";"...";"5526";"-";"10";"5190";"-";"-";"-";"-";"-";"17371";"178";"-";"-";"3102";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Granjeiro (CE)";"...";"-";"-";"15";"89";"33";"-";"-";"-";"-";"-";"...";"-";"-";"240";"494";"-";"-";"-";"-";"-";"98";"18";"38";"-";"660";"-";"-";"-";"-";"790";"-";"-";"-";"32";"-";"...";"-";"-";"25";"85";"23";"-";"-";"-";"-";"-";"...";"-";"-";"331";"659";"-";"-";"-";"-";"-";"92";"18";"65";"-";"1269";"-";"-";"-";"-";"910";"-";"-";"-";"33";"-";"...";"-";"-";"8";"212";"64";"-";"-";"-";"-";"-";"...";"-";"-";"368";"423";"-";"-";"-";"-";"-";"267";"16";"32";"-";"777";"-";"-";"-";"-";"609";"-";"-";"-";"84";"-"
"Groaíras (CE)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"11";"-";"-";"390";"-";"-";"-";"-";"-";"19";"-";"93";"-";"428";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"3";"-";"-";"1023";"-";"-";"-";"-";"-";"15";"-";"56";"-";"816";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"7";"-";"-";"514";"-";"-";"-";"-";"-";"36";"-";"20";"-";"453";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guaiúba (CE)";"...";"-";"-";"-";"2816";"-";"-";"-";"-";"-";"-";"...";"18";"-";"126";"543";"-";"-";"-";"-";"-";"324";"147";"-";"-";"311";"-";"-";"-";"-";"210";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2407";"-";"-";"-";"-";"-";"-";"...";"6";"-";"26";"233";"-";"-";"-";"-";"-";"227";"207";"-";"-";"261";"-";"-";"-";"-";"262";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2727";"-";"-";"-";"-";"-";"-";"...";"3";"-";"60";"72";"-";"-";"-";"-";"-";"109";"153";"375";"-";"151";"-";"-";"-";"-";"157";"-";"-";"-";"-";"-"
"Guaraciaba do Norte (CE)";"...";"-";"-";"-";"11019";"26185";"-";"-";"124";"93";"31";"...";"265";"-";"-";"5497";"-";"-";"-";"-";"-";"10364";"366";"1036";"-";"1348";"-";"-";"-";"-";"163838";"-";"-";"-";"66";"-";"...";"-";"-";"-";"11943";"31975";"-";"-";"111";"86";"24";"...";"213";"-";"-";"11802";"-";"-";"-";"-";"-";"7875";"117";"1262";"-";"2588";"-";"-";"-";"-";"110368";"-";"-";"-";"51";"-";"...";"-";"-";"-";"13576";"43255";"-";"-";"56";"56";"-";"...";"111";"-";"-";"5073";"-";"-";"-";"-";"-";"12776";"336";"1527";"-";"1863";"-";"-";"-";"-";"181125";"-";"-";"-";"33";"-"
"Guaramiranga (CE)";"...";"-";"-";"-";"921";"-";"-";"-";"297";"297";"-";"...";"-";"-";"127";"98";"-";"-";"-";"-";"-";"78";"101";"-";"-";"81";"-";"-";"-";"-";"700";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1156";"-";"-";"-";"282";"282";"-";"...";"-";"-";"105";"75";"-";"-";"-";"-";"-";"48";"100";"-";"-";"119";"-";"-";"-";"-";"1054";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1256";"-";"-";"-";"894";"894";"-";"...";"-";"-";"146";"111";"-";"-";"-";"-";"-";"52";"82";"-";"-";"119";"-";"-";"-";"-";"494";"-";"-";"-";"-";"-"
"Hidrolândia (CE)";"...";"-";"-";"-";"213";"35";"-";"-";"-";"-";"-";"...";"9";"-";"-";"1748";"-";"-";"-";"-";"-";"24";"75";"-";"-";"1663";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"220";"57";"-";"-";"-";"-";"-";"...";"9";"-";"-";"3185";"-";"-";"-";"-";"-";"29";"64";"-";"-";"1890";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"266";"84";"-";"-";"-";"-";"-";"...";"24";"-";"-";"3072";"-";"-";"-";"-";"-";"60";"78";"1056";"-";"2430";"-";"-";"-";"-";"599";"-";"-";"-";"-";"-"
"Horizonte (CE)";"...";"-";"-";"-";"-";"58";"-";"-";"-";"-";"-";"...";"2763";"-";"-";"1077";"-";"-";"-";"-";"-";"1755";"15";"-";"-";"204";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"51";"-";"-";"-";"-";"-";"...";"2606";"-";"-";"235";"-";"-";"-";"-";"-";"2224";"37";"-";"-";"116";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"90";"-";"-";"-";"-";"-";"...";"2573";"-";"-";"527";"-";"-";"-";"-";"-";"2076";"11";"-";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ibaretama (CE)";"...";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"...";"440";"-";"-";"1628";"-";"-";"-";"-";"-";"22";"15";"-";"-";"1036";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"...";"473";"-";"-";"1743";"-";"-";"-";"-";"-";"28";"12";"-";"-";"798";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"...";"585";"-";"-";"1380";"-";"-";"-";"-";"-";"48";"10";"-";"-";"1064";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ibiapina (CE)";"...";"-";"-";"20";"6873";"11321";"-";"-";"104";"104";"-";"...";"71";"-";"28";"5016";"-";"-";"-";"-";"-";"2288";"187";"384";"-";"1176";"-";"-";"-";"-";"27281";"-";"-";"-";"103";"-";"...";"-";"-";"23";"5418";"11689";"-";"-";"55";"55";"-";"...";"105";"-";"65";"5038";"-";"-";"-";"-";"-";"2655";"163";"855";"-";"3817";"-";"-";"2429";"-";"30519";"-";"-";"-";"68";"-";"...";"-";"-";"21";"6157";"17181";"-";"-";"189";"189";"-";"...";"69";"-";"76";"4147";"-";"-";"-";"-";"-";"3576";"284";"374";"-";"7933";"-";"-";"11735";"-";"38730";"-";"-";"-";"59";"-"
"Ibicuitinga (CE)";"...";"-";"179";"-";"-";"-";"-";"-";"-";"-";"-";"...";"396";"-";"-";"1716";"-";"-";"-";"-";"-";"843";"8";"-";"-";"1253";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"149";"-";"-";"-";"-";"-";"-";"-";"-";"...";"159";"-";"-";"1804";"-";"-";"-";"-";"-";"520";"6";"-";"-";"1637";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"74";"-";"-";"-";"-";"-";"-";"-";"-";"...";"362";"-";"-";"750";"-";"-";"-";"-";"-";"265";"5";"-";"-";"1743";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Icapuí (CE)";"...";"-";"-";"-";"651";"-";"-";"-";"-";"-";"-";"...";"9763";"-";"-";"297";"-";"-";"-";"-";"-";"509";"38";"1533";"13543";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"598";"-";"-";"-";"-";"-";"-";"...";"7613";"-";"-";"128";"-";"-";"-";"-";"-";"491";"38";"643";"15174";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"638";"-";"-";"-";"-";"-";"-";"...";"10924";"-";"-";"332";"-";"-";"-";"-";"-";"623";"39";"934";"24461";"127";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Icó (CE)";"...";"-";"20";"22";"3364";"97";"-";"-";"-";"-";"-";"...";"3";"-";"101";"5243";"-";"-";"-";"-";"-";"76";"148";"53";"-";"7086";"-";"-";"-";"-";"407";"-";"-";"-";"-";"-";"...";"-";"2";"25";"3362";"133";"-";"-";"-";"-";"-";"...";"4";"-";"99";"7905";"-";"-";"-";"-";"-";"79";"168";"56";"-";"15423";"-";"-";"-";"-";"494";"-";"-";"-";"-";"-";"...";"-";"56";"36";"3887";"168";"-";"-";"-";"-";"-";"...";"8";"-";"242";"3587";"-";"-";"-";"-";"-";"117";"285";"93";"-";"7160";"-";"-";"-";"-";"887";"-";"-";"-";"-";"-"
"Iguatu (CE)";"...";"-";"107";"-";"18546";"374";"-";"-";"-";"-";"-";"...";"3";"-";"43";"4583";"-";"-";"-";"-";"-";"735";"29";"89";"-";"13004";"-";"-";"-";"-";"764";"-";"-";"-";"-";"-";"...";"-";"105";"-";"13417";"470";"-";"-";"-";"-";"-";"...";"3";"-";"21";"6001";"-";"-";"-";"-";"-";"1559";"28";"68";"-";"21498";"-";"-";"-";"-";"2009";"-";"-";"-";"-";"-";"...";"-";"18";"-";"20162";"777";"-";"-";"-";"-";"-";"...";"4";"-";"88";"1887";"-";"-";"-";"-";"-";"1797";"45";"102";"-";"6505";"-";"-";"-";"-";"1968";"-";"-";"-";"-";"-"
"Independência (CE)";"...";"-";"18";"-";"15";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4995";"-";"-";"-";"-";"-";"15";"9";"-";"-";"8745";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"10";"-";"9";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8801";"-";"-";"-";"-";"-";"10";"5";"-";"-";"8252";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"21";"-";"7";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"11922";"-";"-";"-";"-";"-";"16";"6";"-";"-";"19137";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipaporanga (CE)";"...";"-";"-";"-";"115";"-";"-";"-";"-";"-";"-";"...";"6";"-";"-";"1111";"-";"-";"-";"-";"-";"114";"8";"-";"-";"5664";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"74";"-";"-";"-";"-";"-";"-";"...";"3";"-";"-";"4182";"-";"-";"-";"-";"-";"84";"5";"-";"-";"7965";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"86";"-";"-";"-";"-";"-";"-";"...";"8";"-";"-";"2315";"-";"-";"-";"-";"-";"133";"7";"-";"-";"6825";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipaumirim (CE)";"...";"-";"-";"-";"42";"-";"-";"-";"-";"-";"-";"...";"-";"-";"20";"1562";"-";"-";"-";"-";"-";"116";"66";"-";"-";"1850";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"54";"-";"-";"-";"-";"-";"-";"...";"-";"-";"21";"1720";"-";"-";"-";"-";"-";"97";"69";"-";"-";"1928";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"94";"-";"-";"-";"-";"-";"-";"...";"-";"-";"7";"596";"-";"-";"-";"-";"-";"160";"93";"-";"-";"2277";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ipu (CE)";"...";"-";"-";"-";"4100";"6976";"-";"-";"12";"12";"-";"...";"476";"-";"39";"7721";"-";"-";"-";"-";"-";"4120";"1014";"732";"-";"4307";"-";"-";"-";"-";"6437";"-";"-";"-";"121";"-";"...";"-";"-";"-";"4499";"7979";"-";"-";"6";"6";"-";"...";"684";"-";"43";"15962";"-";"-";"-";"-";"-";"4912";"754";"798";"-";"5567";"-";"-";"-";"-";"6936";"-";"-";"-";"84";"-";"...";"-";"-";"-";"5027";"9340";"-";"-";"37";"37";"-";"...";"425";"-";"49";"10679";"-";"-";"-";"-";"-";"6408";"1149";"927";"-";"13507";"-";"189";"-";"-";"28674";"-";"-";"-";"72";"-"
"Ipueiras (CE)";"...";"-";"-";"-";"1105";"415";"-";"-";"25";"25";"-";"...";"379";"-";"23";"4042";"-";"-";"-";"-";"-";"636";"465";"471";"-";"3822";"-";"-";"-";"-";"4637";"-";"-";"-";"47";"-";"...";"-";"-";"-";"1123";"534";"-";"-";"18";"18";"-";"...";"162";"-";"24";"2473";"-";"-";"-";"-";"-";"1056";"209";"575";"-";"3485";"-";"-";"-";"-";"5016";"-";"-";"-";"34";"-";"...";"-";"-";"-";"1278";"695";"-";"-";"76";"76";"-";"...";"283";"-";"39";"2078";"-";"-";"-";"-";"-";"1802";"459";"632";"-";"5693";"-";"-";"-";"-";"8276";"-";"-";"-";"33";"-"
"Iracema (CE)";"...";"-";"12";"-";"22";"-";"-";"-";"-";"-";"-";"...";"10";"-";"30";"788";"-";"-";"-";"-";"-";"54";"137";"-";"-";"622";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"6";"-";"28";"-";"-";"-";"-";"-";"-";"...";"4";"-";"46";"1254";"-";"-";"-";"-";"-";"148";"169";"-";"-";"1506";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"3";"-";"32";"-";"-";"-";"-";"-";"-";"...";"16";"-";"63";"481";"-";"-";"-";"-";"-";"137";"280";"-";"-";"1309";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Irauçuba (CE)";"...";"-";"23";"-";"23";"-";"-";"-";"-";"-";"-";"...";"11";"-";"-";"2119";"-";"-";"-";"-";"-";"48";"15";"16";"3";"1055";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"2";"-";"22";"-";"-";"-";"-";"-";"-";"...";"8";"-";"-";"1803";"-";"-";"-";"-";"-";"25";"12";"65";"14";"734";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"62";"-";"23";"-";"-";"-";"-";"-";"-";"...";"4";"-";"-";"1378";"-";"-";"-";"-";"-";"28";"30";"15";"7";"1159";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itaiçaba (CE)";"...";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"...";"331";"-";"-";"229";"-";"-";"-";"-";"-";"1855";"-";"-";"-";"72";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"...";"203";"-";"-";"108";"-";"-";"-";"-";"-";"2023";"-";"-";"-";"83";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"...";"381";"-";"-";"462";"-";"-";"-";"-";"-";"2091";"-";"-";"-";"218";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapajé (CE)";"...";"-";"-";"-";"12052";"-";"-";"-";"-";"-";"-";"...";"137";"-";"99";"3387";"-";"-";"-";"-";"-";"339";"251";"-";"-";"1294";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"12334";"-";"-";"-";"-";"-";"-";"...";"131";"-";"72";"2017";"-";"-";"-";"-";"-";"350";"409";"-";"-";"880";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"84";"-";"20315";"-";"-";"-";"-";"-";"-";"...";"175";"-";"120";"1297";"-";"-";"-";"-";"-";"343";"699";"-";"-";"1907";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapipoca (CE)";"...";"-";"-";"-";"12072";"169";"-";"-";"-";"-";"-";"...";"12558";"-";"149";"1083";"-";"-";"-";"-";"-";"5780";"133";"720";"-";"3462";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"9893";"154";"-";"-";"-";"-";"-";"...";"6805";"-";"216";"5530";"-";"-";"-";"-";"-";"7770";"174";"1998";"-";"3050";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"14821";"208";"-";"-";"-";"-";"-";"...";"16100";"-";"89";"1603";"-";"-";"-";"-";"-";"13667";"161";"-";"-";"2938";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapiúna (CE)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"398";"-";"71";"3794";"-";"-";"-";"-";"-";"1053";"-";"-";"-";"5060";"-";"-";"-";"-";"1629";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"310";"-";"84";"741";"-";"-";"-";"-";"-";"1455";"-";"-";"-";"1231";"-";"-";"-";"-";"2638";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"595";"-";"35";"1273";"-";"-";"-";"-";"-";"2515";"-";"18";"-";"1053";"-";"-";"-";"-";"3329";"-";"-";"-";"-";"-"
"Itarema (CE)";"...";"-";"-";"-";"142";"375";"-";"-";"-";"-";"-";"...";"10281";"-";"-";"1904";"-";"-";"-";"-";"-";"2627";"32";"1566";"-";"740";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"158";"504";"-";"-";"-";"-";"-";"...";"8730";"-";"-";"3926";"-";"-";"-";"-";"-";"6835";"48";"4060";"-";"1302";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"235";"727";"-";"-";"-";"-";"-";"...";"12348";"-";"-";"916";"-";"-";"-";"-";"-";"10729";"50";"355";"-";"706";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itatira (CE)";"...";"-";"-";"-";"532";"46";"-";"-";"-";"-";"-";"...";"2";"-";"56";"1732";"-";"-";"-";"-";"4";"150";"28";"-";"-";"1425";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"775";"13";"-";"-";"-";"-";"-";"...";"3";"-";"41";"3929";"-";"-";"-";"-";"9";"63";"91";"-";"-";"2958";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"124";"-";"1365";"28";"-";"-";"-";"-";"-";"...";"3";"-";"130";"1373";"-";"-";"-";"-";"5";"89";"32";"-";"-";"1813";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaguaretama (CE)";"...";"-";"-";"-";"-";"162";"-";"-";"-";"-";"-";"...";"6";"-";"-";"4826";"-";"-";"-";"-";"-";"127";"43";"-";"-";"1079";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"206";"-";"-";"-";"-";"-";"...";"3";"-";"-";"2653";"-";"-";"-";"-";"-";"184";"92";"-";"-";"1105";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"145";"-";"-";"-";"-";"-";"...";"7";"-";"-";"4220";"-";"-";"-";"-";"-";"104";"113";"-";"-";"1723";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaguaribara (CE)";"...";"-";"-";"-";"348";"80";"-";"-";"-";"-";"-";"...";"74";"-";"-";"1162";"-";"-";"-";"-";"-";"392";"25";"-";"-";"167";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"463";"157";"-";"-";"-";"-";"-";"...";"66";"-";"-";"2016";"-";"-";"-";"-";"-";"616";"30";"-";"-";"404";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"863";"120";"-";"-";"-";"-";"-";"...";"56";"-";"-";"1356";"-";"-";"-";"-";"-";"765";"42";"-";"-";"756";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaguaribe (CE)";"...";"-";"-";"-";"175";"88";"-";"-";"-";"-";"-";"...";"9";"-";"-";"4220";"-";"-";"-";"-";"-";"123";"36";"-";"-";"1319";"-";"-";"-";"-";"105";"-";"-";"-";"-";"-";"...";"-";"-";"-";"174";"116";"-";"-";"-";"-";"-";"...";"4";"-";"-";"4318";"-";"-";"-";"-";"-";"163";"38";"-";"-";"2218";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"300";"200";"-";"-";"-";"-";"-";"...";"7";"-";"-";"4346";"-";"-";"-";"-";"-";"250";"64";"-";"-";"2525";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jaguaruana (CE)";"...";"-";"191";"-";"3924";"141";"-";"-";"-";"-";"-";"...";"347";"-";"-";"429";"-";"-";"-";"-";"-";"544";"2621";"249";"398";"1501";"-";"-";"-";"-";"-";"-";"-";"-";"-";"273";"...";"-";"176";"-";"3709";"108";"-";"-";"-";"-";"-";"...";"378";"-";"-";"402";"-";"-";"-";"-";"-";"687";"2461";"142";"224";"1093";"-";"-";"902";"-";"-";"-";"-";"-";"-";"215";"...";"-";"46";"-";"3538";"51";"-";"-";"-";"-";"-";"...";"688";"-";"-";"619";"-";"-";"-";"-";"-";"732";"1356";"110";"194";"3012";"-";"-";"-";"-";"-";"-";"-";"-";"-";"313"
"Jardim (CE)";"...";"-";"11";"-";"254";"-";"-";"-";"-";"-";"-";"...";"-";"-";"25";"364";"-";"-";"-";"-";"-";"365";"36";"-";"-";"4103";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"282";"15";"-";"-";"-";"-";"-";"...";"-";"-";"32";"800";"-";"-";"-";"-";"-";"334";"89";"-";"-";"9743";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"324";"51";"-";"-";"-";"-";"-";"...";"-";"-";"46";"844";"-";"-";"-";"-";"-";"760";"120";"-";"-";"6917";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jati (CE)";"...";"-";"4";"-";"110";"318";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1298";"-";"-";"-";"-";"-";"775";"18";"244";"-";"2083";"-";"-";"-";"-";"2043";"-";"-";"-";"-";"-";"...";"-";"-";"-";"163";"360";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1397";"-";"-";"-";"-";"-";"993";"27";"540";"-";"3204";"-";"-";"-";"-";"2359";"-";"-";"-";"-";"-";"...";"-";"-";"-";"204";"587";"-";"-";"-";"-";"-";"...";"4";"-";"-";"672";"-";"-";"-";"-";"-";"999";"44";"447";"-";"2086";"-";"-";"-";"-";"1363";"-";"-";"-";"-";"-"
"Jijoca de Jericoacoara (CE)";"...";"-";"-";"-";"-";"32";"-";"-";"-";"-";"-";"...";"3632";"-";"-";"560";"-";"-";"-";"-";"-";"1893";"17";"-";"-";"229";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"45";"-";"-";"-";"-";"-";"...";"4185";"-";"-";"1060";"-";"-";"-";"-";"-";"2574";"25";"-";"-";"519";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"...";"5117";"-";"-";"267";"-";"-";"-";"-";"-";"2837";"25";"-";"-";"282";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Juazeiro do Norte (CE)";"...";"-";"990";"-";"1512";"-";"-";"-";"-";"-";"-";"...";"20";"-";"109";"1019";"-";"-";"-";"-";"-";"326";"52";"-";"-";"1072";"-";"-";"-";"-";"294";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1465";"-";"-";"-";"-";"-";"-";"...";"13";"-";"122";"829";"-";"-";"-";"-";"-";"312";"124";"-";"-";"1064";"-";"-";"-";"-";"395";"-";"-";"-";"-";"-";"...";"-";"-";"-";"159";"-";"-";"-";"-";"-";"-";"...";"26";"-";"42";"1154";"-";"-";"-";"-";"-";"411";"157";"-";"-";"1860";"-";"-";"-";"-";"151";"-";"-";"-";"-";"-"
