Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2610400,parnamirinense,FERDINANDO LIMA DE CARVALHO,2609.548,18612,7.13,97.0,0.599,13.47,49859.83068,46505.80731,8399.56,
2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,327.21,28340,86.61,95.9,0.592,10.1,60396.72672,63869.93836,7987.84,
2610806,pedrense,GILBERTO J&Uacute;NIOR WANDERLEY VAZ,922.602,22795,24.71,92.0,0.567,18.07,48119.19458,48181.38936,9394.07,
2610905,pesqueirense,SEBASTI&Atilde;O LEITE DA SILVA NETO,960.042,62722,65.33,97.4,0.61,10.79,117501.81215,107174.11434,11238.93,
2611002,petrolandense,FABIANO JAQUES MARQUES,1056.589,34161,32.33,96.0,0.623,13.62,80548.29077,77134.21193,48089.8,
2611101,petrolinense,MIGUEL DE SOUZA LE&Atilde;O COELHO,4561.87,386786,84.79,97.0,0.697,14.02,669779.17576,604499.95462,19416.68,
2611200,po&ccedil;&atilde;oense,EMERSON CORDEIRO VASCONCELOS,205.119,10500,51.19,97.0,0.528,12.2,29218.3409,26962.35066,7875.42,
2611309,pomboense,MANOEL MARCOS ALVES FERREIRA,239.832,27552,114.88,95.0,0.598,18.57,57179.34587,57045.16544,17672.47,
2611533,quixabense,JOS&Eacute; PEREIRA NUNES,210.705,6554,31.11,99.2,0.577,18.02,26460.00167,23119.64656,8485.99,
2611705,riachense,DIOCL&Eacute;CIO ROSENDO DE LIMA FILHO,314.003,20635,65.72,93.4,0.57,28.74,52372.07858,49074.57391,10529.45,
