Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2204709,inhumense,ELBERT HOLANDA MOURA,978.222,14958,15.29,98.8,0.624,16.76,28264.54945,27340.8185,9993.08,
2204808,ipiranguense,FRANCISCO ELVIS RAMOS VIEIRA,529.417,9420,17.79,94.9,0.63,18.69,24167.26633,21329.6211,8121.33,
2204907,isaiense,FRANCISCO EUDES CASTELO BRANCO NUNES,800.688,7774,9.71,95.0,0.582,-,18542.51204,17138.25662,9341.78,
2205003,itainopolense,MIGUEL RODRIGUES DE MOURA,827.62,10790,13.04,97.1,0.541,18.02,28404.00061,25724.92413,9009.69,
2205102,itaueirense,OSMUNDO DE MORAES ANDRADE,2554.179,10323,4.04,98.7,0.583,29.7,46576.98933,25063.51458,11589.82,
2205151,jacobinense,GEDERLANIO RODRIGUES DE OLIVEIRA,1333.796,5613,4.21,97.7,0.535,12.82,14931.85453,13966.90395,10244.47,
2205201,jaicoense,OGILVAN DA SILVA OLIVEIRA,866.788,17527,20.22,95.1,0.524,16.33,40164.52849,36286.00057,10107.94,
2205250,jardimulatense,DEJAIR LIMA DE SOUSA,510.226,4180,8.19,98.9,0.593,-,12658.3486,12596.03812,7711.23,
2205276,jatobaense,RAIMUNDO NONATO GOMES DE OLIVEIRA,650.393,4494,6.91,98.9,0.566,20.83,14837.05033,14596.88111,10570.54,
2205359,jo&atilde;o costense,JOS&Eacute; NETO DE OLIVEIRA,1800.23,2970,1.65,96.9,0.561,-,17953.77877,14078.3885,21329.08,
2205508,freitense,ROGER COQUEIRO LINHARES,1538.172,42559,27.67,98.7,0.618,14.52,75540.51965,70167.4135,9650.85,
2205516,juazeirense,JOS&Eacute; WILSON PEREIRA GOMES,935.404,5214,5.57,99.1,0.57,19.23,15591.98768,13401.04814,11055.7,
2205524,julio borgense,EDUARDO HENRIQUE DE CASTRO ROCHA,1283.916,5388,4.2,98.6,0.582,12.66,15551.68152,15017.77043,13124.27,
2205532,juremense,KAYLANNE DA SILVA OLIVEIRA,1271.881,4425,3.48,99.2,0.555,14.93,16611.09069,15242.10304,9002.88,
2205565,lagoa do barrense,GILSON NUNES DE SOUSA,1331.025,4995,3.75,94.7,0.502,39.47,15076.29001,13675.16995,75766.6,
2205573,lagoense,JO&Atilde;O ARILSON DE MESQUITA BEZERRA,155.86,6331,40.62,98.3,0.529,-,16827.35737,14909.68714,7822.03,
2205581,lagoense,MAURO C&Eacute;SAR SOARES DE OLIVEIRA J&Uacute;NNIOR,427.841,4810,11.24,98.9,0.583,-,18370.42042,14012.57216,16365.94,
2205599,sitiolagoense,JOS&Eacute; S&Aacute;VIO DE MOURA E SILVA,805.018,4520,5.61,96.6,0.541,-,12927.49778,12742.57974,8801.75,
2205706,lu&iacute;s-correiense,MARIA DAS DORES FONTENELE BRITO,1074.132,30641,28.53,95.4,0.541,15.38,65225.26447,62511.12573,11442.15,
2205904,manoel-emidense,CLAUDIA MARIA DE JESUS PIRES MEDEIROS,1620.413,5209,3.21,99.0,0.573,15.15,80.01341,14666.29822,10004.77,
2205953,marcolandense,CORINTO MACHADO DE MATOS NETO,136.785,8533,62.38,94.5,0.562,14.93,20256.57473,18957.49576,17948.05,
2206050,massap&ecirc;ense,RIVALDO DE CARVALHO COSTA,530.169,5218,9.84,98.6,0.525,18.87,18144.30665,16011.58747,8209.64,
2206357,milton brand&atilde;oense,FRANCISCO EVANGELISTA RESENDE,1309.128,6542,5.0,98.9,0.508,38.96,15756.66539,15264.30988,8248.41,
2206407,monsenhorgilense,JO&Atilde;O LUIZ CARVALHO DA SILVA,567.86,10255,18.06,98.8,0.615,6.85,24182.97964,21251.45441,10232.84,
2206506,hipolitano,ANTONIO DJALMA BEZERRA POLICARPO,401.568,7577,18.87,96.7,0.561,53.19,18407.18284,16370.10783,11598.76,
2206654,morrense,JOSU&Eacute; ALVES DA SILVA,2207.658,4377,1.98,97.7,0.542,15.63,13553.41232,13336.89642,7749.96,
2206704,nazareno-do-piau&iacute;,RAIMUNDO NONATO COSTA,1315.841,6665,5.07,99.3,0.576,11.63,17461.18715,16289.00381,8830.34,
2206753,nazareno,JOS&Eacute; HENRIQUE DE OLIVEIRA ALVES,356.872,5228,14.65,95.5,0.586,-,15386.46749,14454.96582,8695.81,
2206902,novo-orientino,FRANCISCO AFONSO RIBEIRO SOBREIRA,525.906,6097,11.59,97.7,0.562,35.71,15894.61852,15360.16045,8112.51,
2206951,santantoniense,ELISA MARIA DA SILVA PAZ,443.872,2827,6.37,96.5,0.528,-,12273.67672,10802.68713,9389.81,
2207009,oeirense,JOSE RAIMUNDO DE S&Aacute; LOPES,2703.138,38161,14.12,97.9,0.634,7.98,68917.28051,64802.78674,14544.8,
2207207,padremarcoense,JOS&Eacute; VALDINAR DA SILVA,278.696,6382,22.9,99.5,0.541,27.4,17219.72301,15682.16473,10899.55,
2207306,paes-landinense,THALLES MOURA F&Eacute; MARQUES,401.378,4088,10.18,98.5,0.575,14.71,14098.90808,13330.45812,10482.02,
2207355,pajeuense,CL&Aacute;UDIO PEREIRA DOS SANTOS,986.961,3000,3.04,98.0,0.559,38.46,13480.52443,13302.83384,14362.24,
2207405,palmeirino,JOAO DA CRUZ ROSAL DA LUZ,2024.02,4952,2.45,97.4,0.557,14.08,15953.57164,12759.86461,25623.29,
2207553,paquetaense,THALES COELHO PIMENTEL,432.572,3813,8.81,96.9,0.509,-,14093.62041,12421.38159,10645.78,
2207603,parnaguaense,JONDSON CASTRO FE,3428.811,10103,2.95,96.4,0.575,19.74,32102.99962,26978.44793,10513.11,
2207702,parnaibano,FRANCISCO DE ASSIS DE MORAES SOUZA,436.907,162159,371.15,97.5,0.687,12.65,340708.33219,321306.77298,17021.64,
2207751,passagemfranquense,SAULO VINICIUS RODRIGUES SATURNINO,643.226,4135,6.43,98.9,0.561,-,15069.00191,15118.17693,9598.89,
2207777,patoense,JOAQUIM LOPES DOS REIS NETO,801.403,5425,6.77,98.4,0.563,16.67,16359.03285,15380.80495,8910.23,
2207793,paudarquiense,JOSENILTON DE SOUSA RODRIGUES BACELAR,430.023,3880,9.02,98.1,0.514,20.41,12459.43257,9938.17922,7799.23,
2207801,paulistanense,JOAQUIM JULIO COELHO,1941.111,21055,10.85,97.9,0.6,13.11,56081.65085,50043.2428,12296.03,
2207850,pavussuense,JULIMAR BARBOSA DA SILVA,1090.697,3628,3.33,97.8,0.526,27.78,12901.31676,10447.93147,9690.34,
2207900,pedro-segundense,ELISABETE RODRIGUES DE OLIVEIRA,1544.413,37894,24.54,97.3,0.571,9.75,86140.9556,66740.59688,9205.86,
2207934,pedro laurentinense,LEONCIO LEITE DE SOUSA,870.614,2458,2.82,97.2,0.562,-,11379.13206,10006.57824,10773.67,
2207959,Santaritense,HELI MARQUES DE CARVALHO,909.734,4076,4.48,97.1,0.554,22.73,13902.00332,13698.26697,10047.32,
2208007,picoense,GIL MARQUES DE MEDEIROS,577.284,83090,143.93,98.3,0.698,12.67,184481.15986,179285.43185,22447.51,
2208106,pimenteirense,MARIA LUCIA DE LACERDA,4562.58,11341,2.49,98.9,0.566,8.4,25488.71329,25870.49967,8606.05,
2208205,pio-nonense,SILAS NORONHA MOTA,1948.142,17613,9.04,98.8,0.564,8.81,37914.12969,37586.2965,11241.12,
2208304,piracuruquense,FRANCISCO DE ASSIS DA SILVA MELO,2368.935,28453,12.01,94.8,0.596,8.24,52130.77281,48756.05716,11622.54,
2208403,piripiriense,JOVENILIA ALVES DE OLIVEIRA MONTEIRO,1407.192,65450,46.51,97.3,0.635,5.61,124496.24539,111283.47559,14159.14,
2208601,pratense,ACELINO MENDES DE MOURA,196.787,3042,15.46,98.5,0.565,40,14917.48458,10584.21703,8673.02,
2208650,queimadanovense,RAIMUNDO JULIO COELHO,1283.369,8738,6.81,99.3,0.515,29.41,19016.33017,17424.73044,13252.51,
2208700,gurgue&iacute;no,&Acirc;NGELO JOS&Eacute; SENA SANTOS,2470.531,8394,3.4,97.9,0.589,8.06,19925.31614,17427.18525,9934.44,
2208809,regenerense,EDUARDO ALVES CARVALHO,1251.321,17133,13.69,97.4,0.591,8.13,40933.85553,36690.19373,12146.03,
2208858,riacho friense,JABES LUSTOSA NOGUEIRA JUNIOR,2220.598,4165,1.88,98.9,0.541,-,15010.33249,13797.20791,10302.28,
2208874,ribeirense,ANTONIO LUIZ DE ARAUJO COSTA NETO,1012.479,4055,4.01,98.4,0.52,42.55,19252.97263,15452.31705,41373.16,
2209005,rio-grandense-do-piau&iacute;,MAURICIO MARTINS COSTA SILVA,635.953,5801,9.12,96.5,0.572,-,15796.58622,14990.19608,8894.18,
2209104,santa-cruzense,FRANCISCO BARROSO DE CARVALHO NETO,582.658,5831,10.01,96.8,0.601,-,14598.49546,13595.61256,9877.94,
2209153,santacruzense,WILNEY RODRIGUES DE MOURA,978.547,3435,3.51,98.6,0.577,-,11892.9292,10633.52481,10275.43,
2209302,santa-luzense,JOS&Eacute; LIMA DE ARA&Uacute;JO,1185.398,5336,4.5,99.5,0.588,14.49,13413.32196,12920.43878,9592.38,
2209351,santanense,MARIA JOS&Eacute; DE SOUSA MOURA,112.189,4125,36.77,96.1,0.574,-,12951.98763,11190.2852,8441.59,
2209377,santarosense,VER&Iacute;SSIMO ANTONIO SIQUEIRA DA SILVA,338.336,4650,13.74,99.0,0.567,-,13554.75682,11278.12276,8853.54,
2209401,santo-antoense,FRANCISCO KARLOS LEAL GOMES,385.286,5839,15.15,93.5,0.584,14.71,13307.98414,11681.3077,11138.37,
2209450,santoantonhense,PAULO CAZIMIRO DE SOUSA NETO E SILVA,33.64,2138,63.56,97.5,0.619,34.48,10465.95636,8921.77999,7728.84,
2209500,santinacense,TAIRO MOURA MESQUITA,852.106,3646,4.28,99.3,0.613,-,13511.23533,12817.27701,9867.06,
2209559,san-brazense,DEBORAH SAYONARA SANTOS CARDOSO,656.042,4358,6.64,98.7,0.596,24.39,13567.75022,14389.00431,9053.61,
2209609,s&atilde;o-felicense,JOSE JAILSON PIO,627.033,2842,4.53,100.0,0.61,-,128.64021,10343.23721,10564.33,
2209658,s&atilde;ofranciscoense,JOSIMAR JO&Atilde;O DE OLIVEIRA,1072.311,5577,5.2,96.0,0.485,-,17196.50948,13398.5124,9122.43,
2209708,s&atilde;o-franciscano,ANTONIO MARTINS DE CARVALHO,1341.451,5392,4.02,98.4,0.57,16.39,20144.19608,17792.75488,8823.96,
2209757,s&atilde;o gon&ccedil;alense,PAULO LUSTOSA NOGUEIRA,1385.255,2947,2.13,97.4,0.56,-,11629.74715,11197.49833,17604.18,
2209807,s&atilde;o-gon&ccedil;alense,LU&Iacute;S DE SOUSA RIBEIRO JUNIOR,150.495,4837,32.14,97.7,0.616,15.87,14857.18438,11861.49408,10104.23,
2209856,canabravense,ELSON SILVA DE SOUSA,480.537,4242,8.83,96.8,0.559,-,15109.7642,13621.79682,10170.74,
2209872,s&atilde;o j&atilde;o fronteirense,ANTONIO ERIVAN RODRIGUES FERNANDES,817.111,5522,6.76,88.3,0.515,13.89,15741.72047,13735.94487,9475.72,
2209906,serra-jonense,JOAO FRANCISCO GOMES DA ROCHA,994.224,6114,6.15,99.1,0.582,15.63,7398.76515,14580.70013,9737.59,
2209955,sanjoanense,JOSE DOS SANTOS BARBOSA,394.456,4383,11.11,96.9,0.559,61.22,13581.55358,11961.72279,7098.86,
2210003,sanjoanense,EDNEI MODESTO AMORIM,1527.497,21421,14.02,98.3,0.645,18.24,53644.45795,52610.32457,21694.23,
2210052,s&atilde;ojoseense,CARLOS CARVALHO ARA&Uacute;JO,319.367,4841,15.16,99.2,0.565,-,14622.78516,12846.07245,10462.58,
2210102,s&atilde;o-joseense,CELSO ANT&Ocirc;NIO MENDES COIMBRA,1287.174,3297,2.56,97.5,0.573,58.82,13523.20391,12487.67466,10577.53,
2210201,s&atilde;o-joseense,ADMAELTON BEZERRA SOUSA,373.347,6597,17.67,97.5,0.552,-,13687.11323,13491.45665,10166.95,
2210300,s&atilde;o-julianense,SAMUEL DE SOUSA ALENCAR,291.089,6025,20.7,94.3,0.594,-,17088.97766,15242.52904,9082.15,
2210359,lourenciano,BIRACI DAMASCENO RIBEIRO,673.822,4410,6.54,98.9,0.595,-,14186.92375,12401.31315,8883.89,
2210375,s&atilde;oluisense,KELSIMAR DE ABREU SOUSA,217.924,2309,10.6,97.0,0.554,40,10689.18566,9791.515,9391.28,
2210383,s&atilde;omiquelense,MARIA DA CONCEI&Ccedil;&Atilde;O MENDES TEIXEIRA,444.528,2269,5.1,98.9,0.563,-,59.73257,8860.61796,10330.77,
2210391,fidalguense,ERIMAR SOARES DE SOUSA,813.444,2829,3.48,98.7,0.535,-,11602.86967,10920.63874,9378.91,
2210409,tapuiense,POMPILIO EVARISTO CARDOSO FILHO,4988.973,17554,3.52,97.5,0.556,17.32,48150.87719,37841.09592,8543.38,
2210508,s&atilde;o-pedrense,JOS&Eacute; MARIA RIBEIRO DE AQUINO JUNIOR,518.288,13755,26.54,98.4,0.595,5.35,30144.58443,28378.32444,8301.66,
2210607,s&atilde;o-raimundense,CARMELITA DE CASTRO SILVA,2415.287,38934,16.12,98.0,0.661,15.99,65149.95424,62121.81633,15669.4,
2210623,sebasti&atilde;o barrense,PABLO CUST&Oacute;DIO MENDES DE CARVALHO,893.488,3202,3.58,99.3,0.536,-,13553.41232,13336.89642,12095.66,
2210631,sebasti&atilde;o-lealense,MANOELINA DE SOUSA BORGES,3148.857,4446,1.41,97.6,0.562,-,19130.41333,16770.46266,40903.41,
2210656,sigefredense,MURILO BANDEIRA DA SILVA,1031.101,9460,9.17,99.2,0.581,-,20741.2814,17945.23567,7520.14,
2210706,simonense,JOSE WILSON DE CARVALHO,1076.055,14350,13.34,95.3,0.575,10.15,35710.29048,36149.90934,19456.17,
2210805,simpl&iacute;cio-mendense,MARCIO JOS&Eacute; PINHEIRO MOURA,1360.028,13881,10.21,98.6,0.627,34.97,39720.45351,29871.76997,15128.68,
2210904,socorrense,JOS&Eacute; COELHO FILHO,761.854,4141,5.44,97.8,0.561,-,14447.86074,16630.64372,8935.91,
2210938,sussuaparense,NAERTON SILVA MOURA,205.194,6220,30.31,93.7,0.586,24.1,15446.05152,13753.90824,10800.55,
2210953,tamborilense,ANA DELCIDES FIGUEIREDO GUEDES,1587.296,2949,1.86,99.6,0.501,21.28,12540.20191,10582.26539,10218.68,
2210979,tanquense,NATANAEL SALES DE SOUSA,398.007,2316,5.82,97.9,0.579,-,11484.11815,10337.01166,11869.59,
2211001,teresinense,JOS&Eacute; PESSOA LEAL,1391.293,866300,622.66,97.8,0.751,12.1,2804376.07164,2669283.43178,24858.31,
2211308,valenciano,MARCELO COSTA E SILVA,1333.722,22281,16.71,98.6,0.647,18.52,45444.32883,42662.67051,12566.07,
2211357,varzea-branquense,RAIMUNDO NONATO ALVES PAES LANDIM,450.429,5055,11.22,97.9,0.553,11.76,15047.23541,14562.80699,9398.92,
2211407,v&aacute;rzea-grandense,ROBERT EUDES NUNES DE SOUSA SEGUNDO,236.453,4417,18.68,99.6,0.571,57.14,13017.22387,11673.39861,9115.19,
2211506,veramendense,CARLOS JOS&Eacute; DA SILVA,341.974,3185,9.31,98.2,0.503,48.78,14036.1438,12432.50237,9707.5,
2211605,vilanovense,EDILSON EDMUNDO DE BRITO,221.627,2935,13.24,98.7,0.565,-,13552.75494,11517.72334,11939.48,
2211704,wal farrazense,LUIZ GUILHERME MAIA DE SOUSA,270.427,4059,15.01,97.3,0.544,-,13474.81433,12680.94248,8382.7,
2400109,acariense,FERNANDO ANTONIO BEZERRA,608.466,10597,17.42,97.6,0.679,-,26943.45359,23825.10614,11857.64,
2400208,a&ccedil;uense,GUSTAVO MONTENEGRO SOARES,1303.442,56502,43.35,97.6,0.661,11.76,107791.0353,98919.77871,20041.15,
2400307,afonso-bezerrense,JOAO BATISTA DA CUNHA NETO,576.179,10839,18.81,98.8,0.585,-,33903.89094,34590.47519,12589.17,
2400406,&aacute;gua-novense,FRANCISCO RONALDO DE SOUZA,50.684,2946,58.12,99.2,0.616,27.78,14214.25207,14059.26223,10296.97,
2400505,alexandrinense,JEANE CARLINA SARAIVA E FERREIRA DE SOUZA,381.205,13640,35.78,97.5,0.606,-,44435.81559,42149.27432,11579.11,
2400604,almino-afonsense,J&Eacute;SSICA LOURINE DE ASSIS AMORIM,128.038,4687,36.61,95.5,0.624,-,17341.64717,16151.62121,10056.04,
2400703,alto-rodriguense,NIXON DA SILVA BARACHO,191.334,12484,65.25,97.3,0.672,5.52,47612.31987,47626.29166,36375.17,
2400802,angicano,MIGUEL PINHEIRO NETO,741.582,11632,15.69,96.5,0.624,6.99,25571.17511,20119.03344,15386.34,
2400901,ant&ocirc;nio-martinense,JORGE VINICIUS DE OLIVEIRA FERNANDES,244.897,6577,26.86,98.0,0.578,45.45,17039.97627,15756.95677,8716.0,
2401008,apodiense,ALAN JEFFERSON DA SILVEIRA PINTO,1602.477,36094,22.52,97.2,0.639,2.27,65151.72813,61116.86361,15230.92,
2401107,areia-branquense,IRANEIDE XAVIER CORTEZ RODRIGUES REBOU&Ccedil;AS,342.749,24093,70.29,99.3,0.682,6.27,81109.81831,70846.73362,25368.87,
2401305,augusto-severense,FRANCISCO DAS CHAGAS EUFR&Aacute;SIO VIEIRA DE MELO,890.89,9743,10.94,98.0,0.621,24.39,20259.61797,19736.88353,10628.57,
2401453,baraunense,MARIA DIVANIZE ALVES DE OLIVEIRA,825.681,26894,32.57,96.9,0.574,8.75,66394.0762,62253.31047,24463.19,
2401503,barcelonense,FABIANO LOPES PEREIRA,152.626,3986,26.12,98.6,0.566,18.87,14562.5584,13054.16776,10791.86,
2401602,bento-fernandense,PAULO MARQUES DE OLIVEIRA JUNIOR,301.069,4807,15.97,98.5,0.582,14.93,15931.08603,15655.07707,9771.65,
2401651,bodoense,MARCELO MARIO PORTO FILHO,253.519,2306,9.1,98.3,0.629,19.61,20227.48122,19458.52173,119380.48,
2401701,bom-jesuense,CL&Eacute;CIO DA C&Acirc;MARA AZEVEDO,122.035,9952,81.55,99.2,0.584,8.33,22864.98478,19975.34517,9635.2,
2401800,brejinense,JOAO BATISTA GOMES GONCALVES,61.559,12202,198.22,95.3,0.592,23.26,26744.62428,26778.07074,10637.2,
2401859,cai&ccedil;arense do norte,ALC&Eacute;LIO FERNANDES BARBOSA,225.633,6293,27.89,97.3,0.574,-,14708.5317,12637.13207,13968.42,
2401909,cai&ccedil;arense-do-rio-do-vento,CONCEICAO DE MARIA GOMES LISBOA ROCHA,261.194,3268,12.51,96.3,0.587,-,14468.13256,12323.07288,12377.02,
2402006,caicoense,JUDAS TADEU ALVES DOS SANTOS,1228.584,61146,49.77,97.3,0.71,7.49,119336.02408,123033.41727,18883.59,
2402105,campo-redondense,RENAM LUIZ DE ALENCAR CARVALHO,213.727,10215,47.79,96.1,0.626,16.53,30370.00325,27146.4248,8711.84,
2402303,caraubense,ANT&Ocirc;NIO ALVES DA SILVA,1095.803,19577,17.87,98.7,0.638,-,42320.08649,38889.63622,15743.45,
2402402,carnaubense,GILSON DANTAS DE OLIVEIRA,246.308,7990,32.44,97.8,0.659,9.52,18251.41969,16965.97096,13425.32,
2402501,carnaubaense,MARINEIDE MARINHO PEREIRA DINIZ,517.737,9714,18.76,97.5,0.589,-,34351.69723,33459.4318,14824.85,
2402709,cerro-coraense,RAIMUNDO MARCELINO BORGES,393.573,11000,27.95,98.1,0.607,-,29188.43253,28278.88122,11101.65,
2402808,coronel-ezequielense,CLAUDIO MARQUES DE MAC&Ecirc;DO,185.748,5117,27.55,99.0,0.587,15.38,15328.40158,13695.11514,9080.51,
2402907,pessoense,MARIA DE F&Aacute;TIMA ALVES DA COSTA,117.139,4237,36.17,96.0,0.578,14.49,17782.34124,16392.43101,9064.59,
2403004,cruzetense,JOAQUIM JOS&Eacute; DE MEDEIROS,295.83,8005,27.06,99.3,0.654,10.75,20643.19757,18859.94816,14208.18,
2403103,currais-novense,ODON OLIVEIRA DE SOUZA J&Uacute;NIOR,864.349,41318,47.8,97.8,0.691,10.8,80448.96939,74094.08218,16670.54,
2403202,severianense,FRANCISCO NERI DE OLIVEIRA,113.737,7044,61.93,97.6,0.621,-,21195.77213,18437.92035,10213.73,
2403301,encantense,ALBERONE NERI DE OLIVEIRA LIMA,125.749,6016,47.84,97.5,0.629,23.53,16550.97502,15671.6726,9695.32,
2403400,equadoense,CLETSON RIVALDO DE OLIVEIRA,264.985,5360,20.23,98.9,0.623,14.29,17353.81786,16247.53261,11572.03,
2403707,felipe-guerrense,SALOMAO GOMES DE OLIVEIRA,268.591,5940,22.12,99.2,0.636,-,26645.90369,26026.11492,16661.58,
2403756,fernando-pedrozense,SANDRA JAQUELINE JOTA RIBEIRO,322.628,2938,9.11,95.3,0.597,34.48,12938.70737,12647.35247,11999.3,
2403806,floraniense,SAINT CLAY ALCANTARA SILVA DE MEDEIROS,507.892,10196,20.08,97.7,0.642,27.52,19795.24494,17382.29457,11186.21,
2403905,francisco-dantense,JOS&Eacute; ADOLFO DA SILVEIRA NETO,181.558,2700,14.87,97.8,0.606,-,12735.9745,12210.98781,10796.51,
2404002,frutuoso-gomense,JANDIARA SINARA J&Aacute;COME CAVALCANTE,63.279,4122,65.14,98.3,0.597,17.54,13670.01548,10285.86041,10340.37,
2404101,galinhense,FRANCINALDO SILVA DA CRUZ,340.769,2104,6.17,99.5,0.564,55.56,17046.8133,15744.85703,30867.27,
2404309,dix-septiense,ARTUR RODRIGUES DO VALE COSTA,1129.55,11938,10.57,96.7,0.592,16.95,34354.77227,33994.1407,18135.41,
2404408,grossense,CINTHIA SONALE SILVA ALVES E SOUZA,124.538,9924,79.69,97.8,0.664,-,33228.61499,30764.1101,13634.57,
2404507,guamareense,ARTHUR TEIXEIRA,258.307,15295,59.21,96.8,0.626,6.12,228879.08201,201420.69815,109101.78,
2404606,ielmo-marinhense,ROSSANE MARQUES LIMA PATRIOTA,312.028,11615,37.22,95.8,0.55,8.55,38315.9856,39404.81135,9166.39,
2404705,ipangua&ccedil;uense,VALDEREDO BERTOLDO DO NASCIMENTO,374.245,14131,37.76,97.6,0.603,34.65,33219.20692,30727.86902,10715.46,
2404804,ipueirense,JOS&Eacute; MORG&Acirc;NIO PAIVA,127.348,2035,15.98,98.1,0.679,-,12612.49502,11963.70255,13322.16,
2404853,itajaense,ALAOR FERREIRA PESSOA NETO,203.624,7292,35.81,98.0,0.624,11.24,19364.63026,17551.44842,10666.93,
2404903,itauense,FRANCISCO ANDR&Eacute; REGIS J&Uacute;NIOR,133.031,5320,39.99,98.4,0.614,-,17130.45695,14989.51046,12362.48,
2405009,ja&ccedil;an&atilde;ense,UADY ANT&Ocirc;NIO DE FARIAS,54.561,7834,143.58,98.6,0.604,-,17799.7588,15880.62513,8408.1,
2405108,jandairense,MARINA DIAS MARINHO,442.754,6562,14.82,98.3,0.569,-,21454.16702,20045.81335,10812.44,
2405207,janduiense,SALOMAO GURGEL PINHEIRO,303.448,4746,15.64,97.4,0.615,-,15555.10616,14673.07428,16505.91,
2405306,januarense,JOSE WELLINGTON ALVES ROCHA,170.737,9051,53.01,96.4,0.574,6.37,23060.27208,21819.32767,8069.88,
2405405,japiense,SIMONE FERNANDES DA SILVA,188.99,5117,27.08,97.8,0.569,-,16769.10613,14828.72982,9322.05,
2405504,jardim-angicanense,CARLOS ANDRE CAMARA BEZERRA,254.022,2437,9.59,97.1,0.565,-,14389.56375,12951.3484,21564.65,
2405603,piranhense,ROG&Eacute;RIO SOARES,330.53,13977,42.29,96.5,0.603,18.63,33178.75043,30763.17155,12314.12,
2405702,jardinense,JOS&Eacute; AMAZAN SILVA,367.645,11655,31.7,99.6,0.663,9.71,23852.40301,21109.01942,15171.02,
2405801,camarense,MANOEL DOS SANTOS BERNARDO,714.961,33290,46.56,97.8,0.595,21.78,72536.51106,70736.55048,31013.55,
2405900,jo&atilde;o-diense,FRANCISCO DAMI&Atilde;O DE OLIVEIRA,88.173,2076,23.54,87.8,0.53,-,14237.68875,11390.33523,9863.42,
2406007,jos&eacute;-penhense,RAIMUNDO NONATO FERNANDES,117.635,5803,49.33,98.3,0.608,14.08,16925.2508,15049.34915,10355.69,
2406106,jucurutuense,IOGO NIELSON DE QUEIROZ E SILVA,933.73,17793,19.06,98.5,0.601,10.42,47678.41321,42315.04366,18522.99,
2406205,lagoa-dantense,JO&Atilde;O PAULO GUEDES LOPES,105.652,6654,62.98,95.7,0.601,22.73,16857.47042,13961.9511,10116.56,
2406304,lagoa-pedrense,GUILHERME AFFONSO MELO AM&Acirc;NCIO DA SILVA,117.971,7338,62.2,98.8,0.553,-,20024.58831,19097.8532,9891.7,
2406403,lagoa-velhense,SONYARA DE SOUZA RIBEIRO FERREIRA,111.607,2567,23.0,97.5,0.589,22.22,13544.87266,12002.04798,13436.88,
2406502,lagoa-novense,LUCIANO SILVA SANTOS,176.302,15573,88.33,95.5,0.585,25.25,34365.09648,34856.83045,15608.51,
2406601,lagoa-salgadense,OSIVAN S&Aacute;VIO NASCIMENTO QUEIROZ,79.128,8319,105.13,96.0,0.582,6.25,19912.14754,18827.15627,10632.25,
2406700,lajense,FELIPE FERREIRA DE MENEZES ARAUJO,676.625,9866,14.58,99.0,0.624,8.55,28031.68705,27987.71623,12286.67,
2406809,lajes-pintadense,LUCIANO DA CUNHA GOMES,130.211,4787,36.76,95.9,0.625,-,16288.57473,14633.99378,10378.49,
2406908,lucreciano,MARIA DA CONCEI&Ccedil;&Atilde;O DO NASCIMENTO DUARTE,30.931,3490,112.83,99.5,0.646,-,14217.85233,12261.70402,13202.41,
2407005,lu&iacute;s-gomense,CARLOS AUGUSTO DE PAIVA,166.638,9070,54.43,99.4,0.608,14.39,22971.38754,20886.53742,8350.77,
2407104,macaibense,EDIVALDO EM&Iacute;DIO DA SILVA J&Uacute;NIOR,510.092,82212,161.17,97.6,0.64,11.41,180037.98756,154920.25344,20524.42,
2407203,macauense,JOS&Eacute; ANT&Ocirc;NIO DE MENEZES SOUSA,775.302,27369,35.3,97.7,0.665,3.56,78130.39219,82450.20335,22737.29,
2407252,major-salense,MARIA ELCE MAFALDO DE PAIVA FERNANDES,31.971,3924,122.74,99.5,0.617,-,16380.67294,14959.59822,10673.34,
2407302,marcelinense,KERLES J&Aacute;COME SARMENTO,345.711,7896,22.84,97.3,0.609,20.41,18642.12731,16050.98079,9334.19,
2407401,martinense,MARIA JOS&Eacute; DE OLIVEIRA GURGEL COSTA,169.464,8179,48.26,98.9,0.622,34.09,19461.27265,19167.89719,11219.41,
2407609,messias-targinense,FRANCISCA SHIRLEY FERREIRA TARGINO,142.608,4274,29.97,97.0,0.644,25,15488.08792,14009.85185,12031.97,
2407807,monte-alegrense,ANDRE RODRIGUES DA SILVA,211.259,23031,109.02,98.6,0.609,6.78,54963.85744,51822.87833,10958.75,
2407906,monte-gameleirense,JAILTON FELIX DE PONTES,71.946,2276,31.63,98.2,0.598,-,13699.58832,11869.08545,13674.04,
2408003,mossoroense,ALLYSON LEANDRO BEZERRA SILVA,2099.334,264577,126.03,97.7,0.72,8.07,569369.80668,519898.75003,23838.91,
