,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,LATITUDE,LONGITUDE,MIN_2019,MIN_2020,MIN_2021,MED_2019,MED_2020,MED_2021,MAX_2019,MAX_2020,MAX_2021
159,SC7758I1,SC,SDE-SC,Rio Araranguá,-28.928116,-49.510092,57.068324,,,65.59712,,,69.431593,,
160,SC-7758-I-1,SC,SDE-SC,Rio Araranguá,-28.928071,-49.510093,,63.430428,63.430428,,66.93033,69.832505,,75.938371,77.29851
161,86555800,RS,FEPAM,Rio Guaporé,-28.911039,-51.953005,62.761289,,,74.004802,,,84.374529,,
162,RSSC788IE5,SC,SDE-SC,Rio Manuel Alves,-28.834363,-49.622434,67.770657,,,71.470518,,,74.410557,,
163,RSSC-788-IE-5,SC,SDE-SC,Rio Manuel Alves,-28.834327,-49.622436,,44.634034,44.634034,,45.957863,58.314573,,47.944301,76.016805
164,86497300,RS,FEPAM,Arroio Taquara,-28.829366,-51.864942,70.92691,,,77.240236,,,82.811005,,
165,86095000 ou TA451,RS,FEPAM,Informação não disponível,-28.800917,-50.429861,75.830108,,,79.961806,,,83.320008,,
166,86020000 ou TA491,RS,FEPAM,Informação não disponível,-28.783583,-49.981917,78.602175,,,82.618614,,,87.184457,,
167,86503800,RS,FEPAM,Arroio Não Sabia,-28.755647,-51.672581,61.523238,,,69.425252,,,73.686081,,
168,85140010,RS,FEPAM,Rio Jacui Mirim,-28.749738,-52.988414,72.394008,,,73.731548,,,75.069089,,
169,SC7758I4,SC,SDE-SC,Rio Mãe Luiza,-28.748939,-49.474704,51.953628,,,58.722435,,,65.941311,,
170,SC-7758-I-4,SC,SDE-SC,Rio Mãe Luiza,-28.7489,-49.474703,,52.204092,52.204092,,62.559777,63.52104,,77.815805,77.815805
171,85080010 ou JA557,RS,FEPAM,Informação não disponível,-28.720167,-52.849611,71.876556,,,74.117944,,,76.359332,,
172,SC7757I3,SC,SDE-SC,Rio Urussanga,-28.695843,-49.173027,46.473186,,,55.399221,,,65.716732,,
173,SC-7757-I-3,SC,SDE-SC,Rio Urussanga,-28.695789,-49.173027,,46.321153,46.321153,,55.365583,57.677515,,67.354172,73.303169
174,86487000,RS,FEPAM,Rio Carreiro,-28.684667,-51.849489,67.655686,,,71.465018,,,77.459189,,
175,85161020,RS,FEPAM,Arroio Grande,-28.644236,-53.037403,70.671779,,,74.643377,,,78.614975,,
176,85001500,RS,FEPAM,Rio Jacui Mirim,-28.564525,-52.547987,79.099668,,,85.3833,,,91.666932,,
177,85068000,RS,FEPAM,Rio da Gloria,-28.485209,-52.68516,73.278528,,,75.063496,,,76.848464,,
178,SC-7756-I-2,SC,SDE-SC,Rio Tubarão,-28.463507,-48.97464,,63.179814,47.502207,,66.50266,61.203599,,70.833901,70.833901
179,SC7756I2,SC,SDE-SC,Rio Tubarão,-28.463473,-48.97464,67.369979,,,69.700845,,,74.258857,,
180,SC7756I5,SC,SDE-SC,Rio Batateira,-28.340724,-49.017319,67.294599,,,70.627765,,,76.393556,,
181,SC-7756-I-5,SC,SDE-SC,Rio Batateira,-28.34069,-49.01732,,57.818711,48.856142,,69.735441,66.361182,,74.71127,74.71127
182,SC-7756-I-4,SC,SDE-SC,Rio Braço do Norte,-28.3258,-49.1792,66.572988,64.531728,57.611657,71.103412,68.33119,64.85174,77.469836,72.094688,72.094688
183,JA703,RS,FEPAM,Informação não disponível,-28.311917,-52.306972,,,,,,,,,
184,SC-7756-R-15,SC,SDE-SC,Rio Aragatingauba,-28.275951,-48.882586,,68.258906,64.473583,,70.183591,69.102799,,73.748634,73.748634
185,74120500,RS,FEPAM,Rio da Varzea,-28.245984,-52.800893,69.541075,,,73.552685,,,79.545478,,
186,SC-7756-I-13,SC,SDE-SC,Rio Pequeno,-28.209416,-49.195002,,62.860781,50.071634,,68.88655,65.52364,,72.925775,76.199534
187,"74860000 ou CO136,8",RS,FEPAM,Rio Comandaí,-28.13885,-54.55988,53.679451,,,65.773752,,,73.136835,,
188,,SC,,,-28.061171,-48.767552,,,67.097161,,,73.976592,,,77.93259
189,"74630000 ou SR193,3",RS,FEPAM,Rio Santa Rosa,-28.04615,-54.0854,72.827611,,,75.585503,,,78.777624,,
190,74206000,RS,FEPAM,Rio da Varzea,-28.035583,-53.05761,60.762703,,,73.996992,,,93.733026,,
191,"74899000 ou CO44,2",RS,FEPAM,Rio Comandaí,-28.00077,-54.86401,51.086336,,,61.110018,,,69.058588,,
192,SC-7755-I-17,SC,SDE-SC,Rio da Madre,-27.905089,-48.686999,,74.122416,74.122416,,75.859618,77.042262,,77.075087,81.70115
193,"74910000 ou CO9,6",RS,FEPAM,Rio Comandaí,-27.87923,-55.055162,57.948374,,,64.29452,,,67.674291,,
194,SC-7756-R-28,SC,SDE-SC,Rio Capivari,-27.866791,-48.946618,,64.257265,64.257265,,68.582339,70.718842,,71.377049,74.589617
